"Monday, Mar 30",,,,,
0:05,SQ801,Singapore (SIN),Singapore Airlines,B78X (9V-SCH),
0:10,ET605,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AYB),
0:10,O37101,Ezhou (EHU),SF Airlines,744,
0:10,TK89,Istanbul (IST),Turkish Airlines,B77W (TC-LJD),
0:15,O37119,Hangzhou (HGH),SF Airlines,B752 (B-220A),
0:20,O37125,Wuxi (WUX),SF Airlines,744,
0:25,CA975,Singapore (SIN),Air China,A333 (B-5901),
0:30,CA1054,Shanghai (PVG),Air China,77F,
0:30,O37109,Shenzhen (SZX),SF Airlines,73F,
0:40,EK307,Dubai (DXB),Emirates,B77W (A6-EQD),
0:40,O37103,Ezhou (EHU),SF Airlines,B763 (B-223L),
0:45,CF9055,Nanjing (NKG),China Postal Airlines,B752 (B-2831),
1:00,O36814,Shenzhen (SZX),SF Airlines,73F,
1:15,CF9089,Nanjing (NKG),China Postal Airlines,73F,
1:20,O37117,Nanjing (NKG),SF Airlines,744,
1:30,CA949,Milan (MXP),Air China,A359 (B-307C),
1:30,KE864,Seoul (ICN),Korean Air,B739 (HL7707),
1:55,CA875,Paris (CDG),Air China,B77W (B-1430),
1:55,CA3197,Los Angeles (LAX),Air China,77F,
2:00,CA907,Madrid (MAD),Air China,B789 (B-7832),
2:00,O37115,Nantong (NTG),SF Airlines,B752 (B-1578),
2:00,O37103,Ezhou (EHU),SF Airlines,73F,
2:05,HT3819,Guangzhou (CAN),Air Horizont,73F,
2:10,CA963,Brussels (BRU),Air China,A333 (B-5916),
2:10,HU7925,Mexico City (MEX),Hainan Airlines (Hainan Free Trade Port Livery),B789 (B-1540),
2:15,J268,Baku (GYD),Azerbaijan Airlines,B788 (VP-BBS),
2:25,HU7957,Tel Aviv (TLV),Hainan Airlines,789,
2:30,CA863,Athens (ATH),Air China,A332 (B-6549),
2:30,CA965,Frankfurt (FRA),Air China,B77W (B-2089),
2:30,CF9118,Shenzhen (SZX),China Postal Airlines,73F,
2:40,CF9120,Guangzhou (CAN),China Postal Airlines,73F,
2:40,HU489,Berlin (BER),Hainan Airlines,A333 (B-1022),
2:40,HU491,Brussels (BRU),Hainan Airlines,B789 (B-7880),
2:50,CA719,Budapest (BUD),Air China,B789 (B-1468),
2:50,CA841,Vienna (VIE),Air China,A359 (B-326Y),
2:50,CA845,Barcelona (BCN),Air China,A359 (B-32D3),
2:50,CA851,London (LGW),Air China,A359 (B-1082),
2:50,CA861,Geneva (GVA),Air China,A359 (B-32F1),
2:50,CA961,Munich (MUC),Air China,B77W (B-2036),
2:50,HU7937,Prague (PRG),Hainan Airlines,A333 (B-1048),
2:55,HU753,Manchester (MAN),Hainan Airlines,A333 (B-1020),
3:00,CF9021,Shanghai (PVG),China Postal Airlines,73F,
3:10,HU407,Edinburgh (EDI),Hainan Airlines,A333 (B-1096),
3:15,CX395,Hong Kong (HKG),Cathay Pacific,A21N (B-HPS),
3:20,LH8431,Frankfurt (FRA),Lufthansa Cargo,B77L (D-ALFH),
3:35,NH8528,Tokyo (NRT),ANA Cargo,B763 (JA603A),
3:50,Y87980,Shenzhen (SZX),Suparna Airlines,73F,
3:55,CA737,Warsaw (WAW),Air China (50th A330 for Air China Sticker),A333 (B-5977),
4:10,CF9186,Hangzhou (HGH),China Postal Airlines,73F,
4:10,O37240,Hangzhou (HGH),SF Airlines,B733 (B-2983),
4:15,O37344,Wuxi (WUX),SF Airlines,744,
4:25,O36812,Shenzhen (SZX),SF Airlines,744,
4:25,O37115,Nantong (NTG),SF Airlines,73F,
4:30,Y87932,Shanghai (PVG),Suparna Airlines,73F,
5:00,O37113,Shanghai (PVG),SF Airlines,744,
5:00,Y87978,Shanghai (PVG),Suparna Airlines,73F,
5:20,CF9186,Hangzhou (HGH),China Postal Airlines,73F,
5:25,CF9088,Shenzhen (SZX),China Postal Airlines,73F,
5:25,O37344,Wuxi (WUX),SF Airlines,73F,
5:30,O36814,Shenzhen (SZX),SF Airlines,B752 (B-2828),
5:45,O37202,Shanghai (PVG),SF Airlines,73F,
5:50,CA3153,Prestwick (PIK),Air China Cargo,B77L (B-225A),
5:50,CA3151,Madrid (MAD),Air China Cargo,B77L (B-2098),
6:05,KC268,Almaty (ALA),Air Astana,A21N (EI-KDE),
6:15,CA1237,Hami City (HMI),Air China,B38M (B-225P),
6:20,CA1619,Suifenhe (HSF),Air China,B738 (B-7896),
6:20,CA1691,Jiamusi (JMU),Air China,A321 (B-6555),
6:25,ZH9112,Yichun (YIC),Shenzhen Airlines,A320 (B-6615),
6:30,CA1393,Shenzhen (SZX),Air China,B789 (B-1368),
6:30,CA1441,Dali (DLU),Air China (Pink Peony Livery),B737 (B-5214),
6:30,CA1831,Xiamen (XMN),Air China,B38M (B-1392),
6:30,CA1841,Yangzhou (YTY),Air China,A321 (B-6596),
6:30,CA4127,Nyingchi (LZY),Air China,A319 (B-6237),
6:40,CA1215,Kashgar (KHG),Air China,B38M (B-20DH),
6:40,CA1241,Altay (AAT),Air China,B38M (B-1396),
6:40,CA1343,Changsha (CSX),Air China,B738 (B-7893),
6:40,CA1403,Kunming (KMG),Air China,B38M (B-223Y),
6:40,CA1613,Yanji (YNJ),Air China,B738 (B-7890),
6:40,CA1917,Huizhou (HUZ),Air China,A320 (B-6677),
6:40,CN7127,Anqing (AQG),Grand China Air,B738 (B-5539),
6:40,HU7105,Dalian (DLC),Hainan Airlines,B738 (B-5853),
6:40,3U8837,Wanzhou (WXN),Sichuan Airlines,A320 (B-8500),
6:45,CA1213,Yinchuan (INC),Air China,AJ27 (B-650R),
6:45,CA1621,Harbin (HRB),Air China,B738 (B-6499),
6:45,CA1975,Urumqi (URC),Air China,B38M (B-20E3),
6:50,HU7137,Xi'an (XIY),Hainan Airlines,B738 (B-5637),
6:55,CA1461,Guiyang (KWE),Air China,A21N (B-301E),
6:55,CA1587,Weihai (WEH),Air China,A319 (B-6047),
6:55,CA1851,Huangyan (HYN),Air China,B738 (B-5447),
6:55,HU7185,Yichang (YIH),Hainan Airlines,B738 (B-5709),
6:55,HU7197,Lanzhou (LHW),Hainan Airlines,B738 (B-1538),
6:55,SC1161,Zhuhai (ZUH),Shandong Airlines,B738 (B-5349),
6:55,SC2124,Xiamen (XMN),Shandong Airlines,B738 (B-5537),
6:55,ZH9187,Quanzhou (JJN),Shenzhen Airlines,A320 (B-6857),
6:55,3U8890,Chengdu (CTU),Sichuan Airlines,A321 (B-1823),
7:00,CA1135,Ulanhot (HLH),Air China,B738 (B-5849),
7:00,CA1141,Ordos (DSN),Air China,AJ27 (B-650L),
7:00,CA1145,Taiyuan (TYN),Air China,A321 (B-6711),
7:00,CA1359,Guangzhou (CAN),Air China,C919 (B-659J),
7:00,CA1437,Chongqing (CKG),Air China,C919 (B-658J),
7:00,CA1469,Lijiang (LJG),Air China,A20N (B-8890),
7:00,CA1659,Qiqihar (NDG),Air China Inner Mongolia,B738 (B-1219),
7:00,CA4129,Nyingchi (LZY),Air China,A19N (B-32LD),
7:00,CA4182,Chengdu (CTU),Air China Inner Mongolia,B738 (B-1418),
7:00,HU7577,Hangzhou (HGH),Hainan Airlines,B38M (B-206Q),
7:00,MU5100,Shanghai (PVG),China Eastern Airlines,A321 (B-9905),
7:10,CA1697,Daqing (DQA),Air China,AJ27 (B-653D),
7:10,CA1825,Changzhou (CZX),Air China,A320 (B-6881),
7:15,CA1233,Karamay (KRY),Air China,B737 (B-2612),
7:15,CA1231,Xi'an (XIY),Air China,B38M (B-209K),
7:15,CA1335,Nanning (NNG),Air China,A21N (B-326D),
7:15,CA1603,Harbin (HRB),Air China,B738 (B-1528),
7:15,HU7135,Changsha (CSX),Hainan Airlines,B738 (B-5375),
7:25,CA1131,Hailar (HLD),Air China,A21N (B-32NE),
7:25,CA1909,Beihai (BHY),Air China Inner Mongolia,B738 (B-1458),
7:25,CA1925,Zhanjiang (ZHA),Air China,A320 (B-8337),
7:25,CX345,Hong Kong (HKG),Cathay Pacific,A333 (B-LBG),
7:30,CA1257,Korla (KRL),Air China,B38M (B-1395),
7:30,CA1369,Sanya (SYX),Air China,A333 (B-6503),
7:30,CA1405,Chengdu (CTU),Air China,A332 (B-6541),
7:30,CA1453,Mianyang (MIG),Air China,B38M (B-225Z),
7:30,CA1507,Shanghai (SHA),Air China,A333 (B-5913),
7:30,CA1704,Hangzhou (HGH),Air China,A21N (B-1067),
7:30,HU7211,Kunming (KMG),Hainan Airlines,B738 (B-1496),
7:30,HU7289,Guiyang (KWE),Hainan Airlines,B38M (B-225T),
7:30,HU7613,Shanghai (PVG),Hainan Airlines,B738 (B-7175),
7:30,ZH9114,Shenzhen (SZX),Shenzhen Airlines,A21N (B-32DU),
7:35,HU7145,Urumqi (URC),Hainan Airlines,B738 (B-5797),
7:40,CA1251,Urumqi (URC),Air China,B38M (B-224T),
7:40,CA1475,Kunming (KMG),Air China,A359 (B-322Y),
7:40,3U3125,Zhongwei (ZHY),Sichuan Airlines,A320 (B-6347),
7:45,CA4125,Lhasa (LXA),Air China,A19N (B-32NJ),
7:45,HU7601,Shanghai (SHA),Hainan Airlines,A333 (B-1021),
7:45,3U8900,Chengdu (CTU),Sichuan Airlines,A321 (B-8378),
7:55,CA1143,Lyuliang (LLV),Air China,B738 (B-7895),
7:55,CA1805,Ji'an (JGS),Air China,B738 (B-1766),
7:55,CA1813,Hefei (HFE),Air China,A21N (B-32CD),
7:55,CA1939,Guilin (KWL),Dalian Airlines,B738 (B-5642),
7:55,HU7147,Chengdu (TFU),Hainan Airlines,B738 (B-5638),
7:55,HU7191,Xiamen (XMN),Hainan Airlines,B738 (B-1373),
