scenario,strategy,total_delay,total_displacement,gini,cost,capacity_violations
PEK 高峰,协同优化(GA本文模型),81,112,0.308333333333333,1529.83333333333,0
PEK 高峰,传统IATA策略(GA),88,142,0.194444444444444,1068.44444444444,0
PEK 高峰,仅调时(GA),35,133,0.0842105263157895,1210.21052631579,0
PEK 高峰,仅换航线(GA),24,0,0.266666666666667,374.666666666667,0
PEK 高峰,消融:无运行优先级,61,164,0.12972972972973,991.22972972973,0
PEK 高峰,消融:无航线选择,59,134,0.220720720720721,1448.72072072072,0
PEK 高峰,协同优化(SA算法对比),229,290,0.231481481481481,3688.48148148148,0
TSN 非高峰,协同优化(GA本文模型),60,152,0.350961538461539,1655.96153846154,0
TSN 非高峰,传统IATA策略(GA),51,166,0.294736842105263,1084.23684210526,0
TSN 非高峰,仅调时(GA),33,127,0.36,1339.5,0
TSN 非高峰,仅换航线(GA),22,0,0.393333333333333,479.333333333333,0
TSN 非高峰,消融:无运行优先级,82,132,0.305860805860806,1033.36080586081,0
TSN 非高峰,消融:无航线选择,34,94,0.363333333333333,1216.83333333333,0
TSN 非高峰,协同优化(SA算法对比),215,269,0.403125,3368.125,0
CAN 混合运行,协同优化(GA本文模型),63,139,0.123076923076923,1423.57692307692,0
CAN 混合运行,传统IATA策略(GA),55,167,0.231481481481481,1129.98148148148,0
CAN 混合运行,仅调时(GA),34,133,0.240740740740741,1335.74074074074,0
CAN 混合运行,仅换航线(GA),32,0,0.266666666666667,387.666666666667,0
CAN 混合运行,消融:无运行优先级,56,145,0.185185185185185,1011.18518518519,0
CAN 混合运行,消融:无航线选择,34,114,0.286324786324786,1356.32478632479,0
CAN 混合运行,协同优化(SA算法对比),157,303,0.252380952380952,3294.88095238095,0
